??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:02  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:02  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:02  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:02  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:02  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:02  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:02  L -> UBX CFG,  Size   9,  'Config'
00:13:03  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:03  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:03  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:03  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:03  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:03  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:03  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:03  L -> UBX CFG,  Size   9,  'Config'
00:13:04  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:04  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:04  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:04  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:04  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:04  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:04  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:04  L -> UBX CFG,  Size   9,  'Config'
00:13:05  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:05  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:05  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:05  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:05  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:05  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:05  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:05  L -> UBX CFG,  Size   9,  'Config'
00:13:06  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:06  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:06  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:06  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:06  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:06  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:06  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:07  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:07  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:07  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:07  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:07  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:07  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:07  L -> UBX CFG,  Size   9,  'Config'
00:13:07  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:08  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:08  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:08  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:08  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:08  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:08  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:08  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:08  L -> UBX CFG,  Size   9,  'Config'
00:13:09  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:09  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:09  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:09  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:09  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:09  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:09  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:09  L -> UBX CFG,  Size   9,  'Config'
00:13:10  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:10  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:10  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:10  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
00:13:10  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:10  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:10  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:10  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:11  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:11  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:11  L -> UBX CFG,  Size   9,  'Config'
00:13:11  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:11  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:11  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:11  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:11  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:12  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:12  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:12  L -> UBX CFG,  Size   9,  'Config'
00:13:12  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:12  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:12  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:12  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:12  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:13  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:13  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:13  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:13  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:13  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:13  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:13  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:13  L -> UBX CFG,  Size   9,  'Config'
00:13:14  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:14  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:14  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:14  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:14  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:14  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:14  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:15  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:15  L -> UBX CFG,  Size   9,  'Config'
00:13:15  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:15  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:15  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:15  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:15  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:15  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:16  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:16  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:16  L -> UBX CFG,  Size   9,  'Config'
00:13:16  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:16  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:16  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:16  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:16  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:17  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:17  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:17  L -> UBX CFG,  Size   9,  'Config'
00:13:17  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:17  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:17  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:17  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:17  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:18  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:18  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:18  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:18  L -> UBX CFG,  Size   8,  'Config'
00:13:18  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:18  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:18  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:18  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:19  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:19  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:19  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:19  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:19  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:19  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:19  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:19  L -> UBX CFG,  Size   8,  'Config'
00:13:20  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:20  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:20  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:20  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:20  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:20  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:20  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:20  L -> UBX CFG,  Size   8,  'Config'
00:13:21  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:21  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:21  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:21  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:21  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:21  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:21  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:21  L -> UBX CFG,  Size   8,  'Config'
00:13:22  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:22  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:22  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:22  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:22  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:22  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:22  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:23  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:23  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:23  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:23  L -> UBX CFG,  Size  10,  'Config'
00:13:23  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:23  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:23  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:23  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:24  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:24  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:24  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:24  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:24  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:24  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:24  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:24  L -> UBX CFG,  Size  10,  'Config'
00:13:25  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:25  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:25  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:25  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:25  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:25  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:25  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:25  L -> UBX CFG,  Size  10,  'Config'
00:13:26  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:26  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:26  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:26  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:26  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:26  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:26  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:27  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:27  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:27  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:27  L -> UBX CFG,  Size  10,  'Config'
00:13:27  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:27  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:27  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:27  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:28  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:28  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:28  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:28  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:28  L -> UBX CFG,  Size  10,  'Config'
00:13:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:28  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:28  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:28  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:29  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:29  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:29  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:29  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:29  L -> UBX CFG,  Size  10,  'Config'
00:13:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:29  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:29  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:29  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:30  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:30  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:30  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:30  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:30  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:30  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:30  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:30  L -> UBX CFG,  Size  10,  'Config'
00:13:31  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:31  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:31  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:31  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:31  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:31  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:31  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:31  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:31  L -> UBX CFG,  Size  10,  'Config'
00:13:32  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:32  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:32  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:32  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:32  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:32  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:32  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:13:32  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:32  L -> UBX CFG,  Size  10,  'Config'
00:13:33  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:33  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:33  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:33  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:33  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:33  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:33  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:33  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:33  L -> UBX CFG,  Size  10,  'Config'
00:13:34  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:34  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:34  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:34  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:34  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:34  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:34  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:34  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:34  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:35  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:35  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:35  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:35  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:35  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:35  L -> UBX CFG,  Size  10,  'Config'
00:13:35  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:35  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:35  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:35  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:36  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:36  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:36  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:36  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:36  L -> UBX CFG,  Size  10,  'Config'
00:13:36  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:36  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:36  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:37  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:37  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:37  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
