??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:35  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:35  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:35  L -> UBX CFG,  Size   8,  'Config'
00:12:36  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:36  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:36  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:36  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:36  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:12:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:36  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:36  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:37  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:37  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:37  L -> UBX CFG,  Size   8,  'Config'
00:12:37  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:37  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:37  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:12:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:37  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:37  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:38  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:38  L -> UBX CFG,  Size   8,  'Config'
00:12:38  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:38  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:38  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:38  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:12:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:38  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:38  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:39  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:39  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:39  L -> UBX CFG,  Size   8,  'Config'
00:12:39  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:39  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:12:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:39  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:39  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:39  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:40  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
